molecule_chembl_id,curated_smiles,class,Label,pIC50,ID,Molecule,Murcko Scaffold,#Atoms MS,Cluster
CHEMBL4468781,COc1ccc2[nH]cc(CCNC(=O)CCCCCNc3c4c(nc5cc(Cl)cc(Cl)c35)CCCC4)c2c1,active,1,5.30103,,<rdkit.Chem.rdchem.Mol object at 0x7c390bbceff0>,<rdkit.Chem.rdchem.Mol object at 0x7c3959865c40>,34,4
CHEMBL199670,O=C(CCCCCCNc1c2c(nc3ccccc13)CCCC2)NCCc1c[nH]c2ccccc12,active,1,5.30103,,<rdkit.Chem.rdchem.Mol object at 0x7c390bbcf610>,<rdkit.Chem.rdchem.Mol object at 0x7c3959865cb0>,35,4
CHEMBL199861,O=C(CCCCCNc1c2c(nc3ccccc13)CCCC2)NCCc1c[nH]c2ccccc12,active,1,5.30103,,<rdkit.Chem.rdchem.Mol object at 0x7c390bbcf3e0>,<rdkit.Chem.rdchem.Mol object at 0x7c3959865bd0>,34,4
CHEMBL4556734,O=C(CCCCCCCNc1c2c(nc3ccccc13)CCCC2)NCCc1c[nH]c2ccccc12,active,1,5.30103,,<rdkit.Chem.rdchem.Mol object at 0x7c390bbcf680>,<rdkit.Chem.rdchem.Mol object at 0x7c3959865e00>,36,4
CHEMBL199585,O=C(CCCCCCNc1c2c(nc3cc(Cl)cc(Cl)c13)CCCC2)NCCc1c[nH]c2ccccc12,active,1,5.30103,,<rdkit.Chem.rdchem.Mol object at 0x7c390bbcf6f0>,<rdkit.Chem.rdchem.Mol object at 0x7c3959865e70>,35,4
CHEMBL4543251,O=C(CCCCCNc1c2c(nc3ccc(F)cc13)CCCC2)NCCc1c[nH]c2ccccc12,active,1,5.30103,,<rdkit.Chem.rdchem.Mol object at 0x7c390bbcf8b0>,<rdkit.Chem.rdchem.Mol object at 0x7c3959865f50>,34,4
CHEMBL381499,O=C(CCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)NCCc1c[nH]c2ccccc12,active,1,5.30103,,<rdkit.Chem.rdchem.Mol object at 0x7c390bbcf990>,<rdkit.Chem.rdchem.Mol object at 0x7c3959865fc0>,35,4
CHEMBL4532770,COc1ccc2[nH]cc(CCNC(=O)CCCCCCCNc3c4c(nc5ccccc35)CCCC4)c2c1,active,1,5.30103,,<rdkit.Chem.rdchem.Mol object at 0x7c390bbcfa70>,<rdkit.Chem.rdchem.Mol object at 0x7c3959866030>,36,4
CHEMBL199454,COc1ccc2[nH]cc(CCNC(=O)CCCCCNc3c4c(nc5ccccc35)CCCC4)c2c1,active,1,5.30103,,<rdkit.Chem.rdchem.Mol object at 0x7c390bbcfb50>,<rdkit.Chem.rdchem.Mol object at 0x7c39598660a0>,34,4
CHEMBL4590945,O=C(CCCCCCCNc1c2c(nc3cc(Cl)cc(Cl)c13)CCCC2)NCCc1c[nH]c2ccccc12,active,1,5.30103,,<rdkit.Chem.rdchem.Mol object at 0x7c390bbcfc30>,<rdkit.Chem.rdchem.Mol object at 0x7c3959866110>,36,4
CHEMBL370807,O=C(CCCCCNc1c2c(nc3ccccc13)CCCC2)NCCc1c[nH]c2ccc(O)cc12,active,1,5.30103,,<rdkit.Chem.rdchem.Mol object at 0x7c390bbcfd10>,<rdkit.Chem.rdchem.Mol object at 0x7c3959866180>,34,4
CHEMBL4443426,O=C(CCCCNc1c2c(nc3ccccc13)CCCC2)NCCc1c[nH]c2ccccc12,active,1,5.30103,,<rdkit.Chem.rdchem.Mol object at 0x7c390bbcfdf0>,<rdkit.Chem.rdchem.Mol object at 0x7c39598661f0>,33,4
CHEMBL382260,COc1ccc2[nH]cc(CCNC(=O)CCCCCCNc3c4c(nc5ccccc35)CCCC4)c2c1,active,1,5.30103,,<rdkit.Chem.rdchem.Mol object at 0x7c390bbcfed0>,<rdkit.Chem.rdchem.Mol object at 0x7c3959866260>,35,4
CHEMBL199748,COc1ccc2[nH]cc(CCNC(=O)CCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)c2c1,active,1,5.30103,,<rdkit.Chem.rdchem.Mol object at 0x7c390bbe4040>,<rdkit.Chem.rdchem.Mol object at 0x7c39598662d0>,34,4
CHEMBL4455677,COc1ccc2[nH]cc(CCNC(=O)CCCCNc3c4c(nc5ccccc35)CCCC4)c2c1,active,1,5.30103,,<rdkit.Chem.rdchem.Mol object at 0x7c390bbe4120>,<rdkit.Chem.rdchem.Mol object at 0x7c3959866340>,33,4
CHEMBL372202,COc1ccc2[nH]cc(CCNC(=O)CCCCCCNc3c4c(nc5cc(Cl)cc(Cl)c35)CCCC4)c2c1,active,1,5.30103,,<rdkit.Chem.rdchem.Mol object at 0x7c390bbe4200>,<rdkit.Chem.rdchem.Mol object at 0x7c39598663b0>,35,4
CHEMBL4579667,O=C(CCCCCCCNc1c2c(nc3ccccc13)CCCC2)NCCc1c[nH]c2ccc(O)cc12,active,1,5.30103,,<rdkit.Chem.rdchem.Mol object at 0x7c390bbe42e0>,<rdkit.Chem.rdchem.Mol object at 0x7c3959866420>,36,4
CHEMBL200008,COc1ccc2[nH]cc(CCNC(=O)CCCCCNc3c4c(nc5cccc(Cl)c35)CCCC4)c2c1,active,1,5.30103,,<rdkit.Chem.rdchem.Mol object at 0x7c390bbe4350>,<rdkit.Chem.rdchem.Mol object at 0x7c3959866490>,34,4
CHEMBL199538,O=C(CCCCCNc1c2c(nc3cc(Cl)cc(Cl)c13)CCCC2)NCCc1c[nH]c2ccccc12,active,1,5.30103,,<rdkit.Chem.rdchem.Mol object at 0x7c390bbe4430>,<rdkit.Chem.rdchem.Mol object at 0x7c3959866500>,34,4
CHEMBL4448350,O=C(CCCCCNc1c2c(nc3c(Cl)cccc13)CCCC2)NCCc1c[nH]c2ccccc12,active,1,5.30103,,<rdkit.Chem.rdchem.Mol object at 0x7c390bbe4510>,<rdkit.Chem.rdchem.Mol object at 0x7c3959866570>,34,4
CHEMBL383663,O=C(CCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)NCCc1c[nH]c2ccccc12,active,1,5.30103,,<rdkit.Chem.rdchem.Mol object at 0x7c390bbe45f0>,<rdkit.Chem.rdchem.Mol object at 0x7c39598665e0>,34,4
CHEMBL3322232,O=C(NCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)c1ccc2nc(-c3ccc(Cl)cc3)c3c(c2c1)NCCC3,active,1,2.221849,,<rdkit.Chem.rdchem.Mol object at 0x7c390bbe46d0>,<rdkit.Chem.rdchem.Mol object at 0x7c3959866650>,41,74
CHEMBL4451843,O=C(NCCCCCNc1c2c(nc3ccccc13)CCCC2)c1c2ccccc2nc2ccccc12,active,1,2.119186,,<rdkit.Chem.rdchem.Mol object at 0x7c390bbe47b0>,<rdkit.Chem.rdchem.Mol object at 0x7c39598666c0>,37,2
CHEMBL4589980,O=C(CCCCCCNc1c2c(nc3cccc(Cl)c13)CCCC2)NCCc1c[nH]c2ccccc12,active,1,2.09691,,<rdkit.Chem.rdchem.Mol object at 0x7c390bbe4820>,<rdkit.Chem.rdchem.Mol object at 0x7c3959866730>,35,4
CHEMBL4205425,COc1ccccc1C(=O)N1Cc2cc(NC(=O)c3cccc(Cl)c3)ccc2CC1=O,active,1,1.960586,,<rdkit.Chem.rdchem.Mol object at 0x7c390bbe4900>,<rdkit.Chem.rdchem.Mol object at 0x7c39598667a0>,28,128
CHEMBL4205954,O=C(Nc1ccc2c(c1)CN(C(=O)c1ccccc1)C(=O)C2)c1cccc(Cl)c1,active,1,1.87844,,<rdkit.Chem.rdchem.Mol object at 0x7c390bbe49e0>,<rdkit.Chem.rdchem.Mol object at 0x7c3959866810>,28,128
CHEMBL4209803,Cc1cccc(C(=O)Nc2ccc3c(c2)CN(C(=O)c2cccc(C)c2)C(=O)C3)c1,active,1,1.869023,,<rdkit.Chem.rdchem.Mol object at 0x7c390bbe4ac0>,<rdkit.Chem.rdchem.Mol object at 0x7c3959866880>,28,128
CHEMBL4217663,O=C(Nc1ccc2c(c1)CN(C(=O)c1cccc(Cl)c1)C(=O)C2)c1cccc(Cl)c1,active,1,1.849244,,<rdkit.Chem.rdchem.Mol object at 0x7c390bbe4ba0>,<rdkit.Chem.rdchem.Mol object at 0x7c39598668f0>,28,128
CHEMBL4210316,Cc1cccc(C(=O)N2Cc3cc(NC(=O)c4cccc(Cl)c4)ccc3CC2=O)c1,active,1,1.841336,,<rdkit.Chem.rdchem.Mol object at 0x7c390bbe4c80>,<rdkit.Chem.rdchem.Mol object at 0x7c3959866960>,28,128
CHEMBL4214430,COc1ccccc1C(=O)Nc1ccc2c(c1)CN(C(=O)c1cccc(Cl)c1)C(=O)C2,active,1,1.776764,,<rdkit.Chem.rdchem.Mol object at 0x7c390bbe4d60>,<rdkit.Chem.rdchem.Mol object at 0x7c39598669d0>,28,128
CHEMBL4213253,COc1ccccc1C(=O)N1Cc2cc(NC(=O)c3ccccc3)ccc2CC1=O,active,1,1.722849,,<rdkit.Chem.rdchem.Mol object at 0x7c390bbe4e40>,<rdkit.Chem.rdchem.Mol object at 0x7c3959866a40>,28,128
CHEMBL225567,O=C(CCc1c[nH]c2ccccc12)NCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,active,1,1.69897,,<rdkit.Chem.rdchem.Mol object at 0x7c390bbe4f20>,<rdkit.Chem.rdchem.Mol object at 0x7c3959866ab0>,35,4
CHEMBL1083983,O=C(CCc1c[nH]c2ccccc12)NCCCCCCNc1c2c(nc3ccccc13)CCCC2,active,1,1.69897,,<rdkit.Chem.rdchem.Mol object at 0x7c390bbe4f90>,<rdkit.Chem.rdchem.Mol object at 0x7c3959866b20>,35,4
CHEMBL225198,O=C(CCc1c[nH]c2ccccc12)NCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,active,1,1.69897,,<rdkit.Chem.rdchem.Mol object at 0x7c390bbe5070>,<rdkit.Chem.rdchem.Mol object at 0x7c3959866b90>,36,4
CHEMBL4214707,Cc1cccc(C(=O)Nc2ccc3c(c2)CN(C(=O)c2cccc(Cl)c2)C(=O)C3)c1,active,1,1.679023,,<rdkit.Chem.rdchem.Mol object at 0x7c390bbe5150>,<rdkit.Chem.rdchem.Mol object at 0x7c3959866c00>,28,128
CHEMBL4210041,COc1ccccc1C(=O)Nc1ccc2c(c1)CN(C(=O)c1ccccc1OC)C(=O)C2,active,1,1.665949,,<rdkit.Chem.rdchem.Mol object at 0x7c390bbe5230>,<rdkit.Chem.rdchem.Mol object at 0x7c3959866c70>,28,128
CHEMBL4205144,COc1ccccc1C(=O)Nc1ccc2c(c1)CN(C(=O)c1cccc(C)c1)C(=O)C2,active,1,1.586365,,<rdkit.Chem.rdchem.Mol object at 0x7c390bbe5310>,<rdkit.Chem.rdchem.Mol object at 0x7c3959866ce0>,28,128
CHEMBL4218191,Cc1cccc(C(=O)N2Cc3cc(NC(=O)c4ccccc4)ccc3CC2=O)c1,active,1,1.581533,,<rdkit.Chem.rdchem.Mol object at 0x7c390bbe53f0>,<rdkit.Chem.rdchem.Mol object at 0x7c3959866d50>,28,128
CHEMBL3585783,COc1ccc(OC)c(C(C)NS(N)(=O)=O)c1,active,1,1.571056,,<rdkit.Chem.rdchem.Mol object at 0x7c390bbe55b0>,<rdkit.Chem.rdchem.Mol object at 0x7c3959866e30>,6,1
CHEMBL3585784,COc1cccc(OC)c1C(C)NS(N)(=O)=O,active,1,1.571056,,<rdkit.Chem.rdchem.Mol object at 0x7c390bbe5620>,<rdkit.Chem.rdchem.Mol object at 0x7c3959866ea0>,6,1
CHEMBL3585782,COc1ccc(C(C)NS(N)(=O)=O)cc1OC,active,1,1.571056,,<rdkit.Chem.rdchem.Mol object at 0x7c390bbe57e0>,<rdkit.Chem.rdchem.Mol object at 0x7c3959867060>,6,1
CHEMBL3585781,COc1ccc(C(C)NS(N)(=O)=O)cc1,active,1,1.571056,,<rdkit.Chem.rdchem.Mol object at 0x7c390bbe58c0>,<rdkit.Chem.rdchem.Mol object at 0x7c3959867140>,6,1
CHEMBL3585780,COc1ccccc1C(C)NS(N)(=O)=O,active,1,1.571056,,<rdkit.Chem.rdchem.Mol object at 0x7c390bbe5930>,<rdkit.Chem.rdchem.Mol object at 0x7c39598671b0>,6,1
CHEMBL4208866,O=C(Nc1ccc2c(c1)CN(C(=O)c1cccc(Cl)c1)C(=O)C2)c1ccccc1,active,1,1.547294,,<rdkit.Chem.rdchem.Mol object at 0x7c390bbe59a0>,<rdkit.Chem.rdchem.Mol object at 0x7c3959867220>,28,128
CHEMBL4209518,COc1ccccc1C(=O)Nc1ccc2c(c1)CN(C(=O)c1ccccc1)C(=O)C2,active,1,1.531948,,<rdkit.Chem.rdchem.Mol object at 0x7c390bbe5a10>,<rdkit.Chem.rdchem.Mol object at 0x7c3959867290>,28,128
CHEMBL2019048,COc1cc(O)c2c(=O)cc(C(=O)NCCCCCCCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)oc2c1,active,1,1.455932,,<rdkit.Chem.rdchem.Mol object at 0x7c390bbe5af0>,<rdkit.Chem.rdchem.Mol object at 0x7c3959867300>,39,20
CHEMBL54126,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,active,1,1.366532,,<rdkit.Chem.rdchem.Mol object at 0x7c390bbe5bd0>,<rdkit.Chem.rdchem.Mol object at 0x7c3959867370>,6,1
CHEMBL1083984,O=C(CCc1c[nH]c2ccccc12)NCCCCCCCNc1c2c(nc3ccccc13)CCCC2,active,1,1.221849,,<rdkit.Chem.rdchem.Mol object at 0x7c390bbe5c40>,<rdkit.Chem.rdchem.Mol object at 0x7c39598673e0>,36,4
