,PUBCHEM_SMILES,PUBCHEM_ACTIVITY_OUTCOME,Antagonist Activity,Viability Activity,Antagonist Efficacy (%),ID,Molecule,Hydrogen Bond Donor
0,CN1C2=NC=NC3=C2C(=CN3[C@H]4[C@@H]([C@@H]([C@H](O4)CO)O)O)C(=N1)N,Active,active antagonist,inactive,-37.5702,,<rdkit.Chem.rdchem.Mol object at 0x79fddefcc580>,0
1,C[C@]12CC[C@H]3C(=CCC4=C3C=CC(=C4)O)[C@@H]1CCC2=O,Active,active antagonist,inactive,-37.9252,,<rdkit.Chem.rdchem.Mol object at 0x79fddefcc5f0>,0
2,C1=NC2=C(N=C(N=C2N1[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)F)Cl)N,Active,active antagonist,inactive,-35.847,,<rdkit.Chem.rdchem.Mol object at 0x79fddefcc660>,1
3,CCOC1=CC2=C(C3=C(C=C(C=C3)N)N=C2C=C1)N.CC(C(=O)O)O.O,Active,active antagonist,inactive,-35.5194,,<rdkit.Chem.rdchem.Mol object at 0x79fddefcc740>,0
4,CCCCOC(=O)C1=CC=CC=C1C(=O)OCC2=CC=CC=C2,Active,active antagonist,inactive,-39.4007,,<rdkit.Chem.rdchem.Mol object at 0x79fddefcc820>,0
5,C1CC1C2=CC=CC=C2OCC3=NCCN3,Active,active antagonist,inactive,-38.8571,,<rdkit.Chem.rdchem.Mol object at 0x79fddefcc900>,0
6,C1=CC=C2C=C3C4=CC=CC=C4C5=CC=CC=C5C3=CC2=C1,Active,active antagonist,inactive,-38.3391,,<rdkit.Chem.rdchem.Mol object at 0x79fddefcc970>,0
7,C1=CC=C2C(=C1)C(=O)C(C2=O)C3=NC4=CC=CC=C4C(=C3O)Br,Active,active antagonist,inactive,-36.3573,,<rdkit.Chem.rdchem.Mol object at 0x79fddefcc9e0>,1
8,CCCCNS(=O)(=O)C1=CC=CC=C1,Active,active antagonist,inactive,-39.8567,,<rdkit.Chem.rdchem.Mol object at 0x79fddefcca50>,0
9,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3)Cl,Active,active antagonist,inactive,-39.0402,,<rdkit.Chem.rdchem.Mol object at 0x79fddefccb30>,1
10,C1C2=CC=CC=C2C3=C1C=C(C=C3)N,Active,active antagonist,inactive,-38.2962,,<rdkit.Chem.rdchem.Mol object at 0x79fddefccba0>,0
11,C1[C@@H](C2=C(CN1)C(=C(C=C2)O)O)C3=CC(=C(C=C3)O)O.Cl,Active,active antagonist,inactive,-38.2734,,<rdkit.Chem.rdchem.Mol object at 0x79fddefccc10>,0
12,C1=CC=C(C=C1)C2=CC=CC=C2[N+](=O)[O-],Active,active antagonist,inactive,-34.0683,,<rdkit.Chem.rdchem.Mol object at 0x79fddefccc80>,0
13,CC1=C(C=CC=C1[N+](=O)[O-])N,Active,active antagonist,inactive,-39.9113,,<rdkit.Chem.rdchem.Mol object at 0x79fddefccd60>,0
14,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F,Active,active antagonist,inactive,-39.4897,,<rdkit.Chem.rdchem.Mol object at 0x79fddefccdd0>,0
15,CCCCOC1=NC2=CC=CC=C2C(=C1)C(=O)NCCN(CC)CC,Active,active antagonist,inactive,-38.7705,,<rdkit.Chem.rdchem.Mol object at 0x79fddefcce40>,0
16,CCN(CC)C1=CC(=NC2=NC=NN12)C,Active,active antagonist,inactive,-37.6924,,<rdkit.Chem.rdchem.Mol object at 0x79fddefccf20>,0
17,CCOC(=O)C(=C)C#N,Active,active antagonist,inactive,-33.8385,,<rdkit.Chem.rdchem.Mol object at 0x79fddefccf90>,0
18,C1=CC=C(C=C1)C(C#N)C2=CC=CC=C2,Active,active antagonist,inactive,-32.4647,,<rdkit.Chem.rdchem.Mol object at 0x79fddefcd000>,0
19,C1=C(OC(=C1)[N+](=O)[O-])/C=N/NC(=O)C2=C(C(=CC(=C2)[N+](=O)[O-])[N+](=O)[O-])O,Inactive,inactive,active antagonist,0.0,,<rdkit.Chem.rdchem.Mol object at 0x79fddefcd070>,0
20,C1=CC=C2C(=C1)C(OS2(=O)=O)(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,Inactive,inactive,active antagonist,0.0,,<rdkit.Chem.rdchem.Mol object at 0x79fddefcd0e0>,0
21,C1CC(CCC1CC2CCC(CC2)N=C=O)N=C=O,Inactive,inactive,active antagonist,0.0,,<rdkit.Chem.rdchem.Mol object at 0x79fddefcd150>,0
22,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4=CC=CO4)N)OC,Inactive,inactive,active antagonist,0.0,,<rdkit.Chem.rdchem.Mol object at 0x79fddefcd230>,0
23,CC1=CC(=C(C=C1)N=NC2=C(C(=CC3=CC=CC=C32)C(=O)O)[O-])S(=O)(=O)[O-].[Ca+2],Inactive,inactive,active antagonist,0.0,,<rdkit.Chem.rdchem.Mol object at 0x79fddefcd2a0>,0
24,C1C(=NC(=O)N1/N=C/C2=CC=C(O2)C3=CC=C(C=C3)[N+](=O)[O-])[O-].[Na+],Inactive,inactive,inconclusive antagonist,0.0,,<rdkit.Chem.rdchem.Mol object at 0x79fddefcd380>,0
25,C1=CC(=CC=C1[N+](=O)[O-])O,Inactive,inactive,active antagonist,0.0,,<rdkit.Chem.rdchem.Mol object at 0x79fddefcd3f0>,0
26,C1=CC=C2C(=C1)C(=O)C3=C(C=C(C(=C3C2=O)N)S(=O)(=O)O)Br,Inactive,inactive,active antagonist,0.0,,<rdkit.Chem.rdchem.Mol object at 0x79fddefcd460>,1
27,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N=NC3=CC(=C(C=C3)O)C(=O)O,Inactive,inactive,active antagonist,0.0,,<rdkit.Chem.rdchem.Mol object at 0x79fddefcd4d0>,0
28,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3)O)O,Inactive,inactive,active antagonist,0.0,,<rdkit.Chem.rdchem.Mol object at 0x79fddefcd5b0>,0
29,C1=CC(=CC=C1N=NC2=C(NN(C2=O)C3=CC=C(C=C3)S(=O)(=O)[O-])C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],Inactive,inactive,active antagonist,0.0,,<rdkit.Chem.rdchem.Mol object at 0x79fddefcd690>,0
30,C1=CC(=CC=C1N=NC2=C(C=CC3=C2C=CC(=C3)S(=O)(=O)[O-])O)S(=O)(=O)[O-].[Na+].[Na+],Inactive,inactive,active antagonist,0.0,,<rdkit.Chem.rdchem.Mol object at 0x79fddefcd700>,0
31,CC1=CC(=C(C=C1S(=O)(=O)[O-])OC)N=NC2=C(C=CC3=C2C=CC(=C3)S(=O)(=O)[O-])O.[Na+].[Na+],Inactive,inactive,active antagonist,0.0,,<rdkit.Chem.rdchem.Mol object at 0x79fddefcd770>,0
