PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Antagonist Activity,Antagonist Potency (uM),Antagonist Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Sample Source
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,FLOAT,STRING,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,,Type of compound activity based on both the CAR antagonist mode readout and the cell viability counter screen.,Type of compound activity in the CAR antagonist mode screen.,The concentration of sample yielding half-maximal inhibition of CAR.,Percent inhibition of CAR.,Type of compound activity in the cell viability counter screen.,The concentration of sample yielding half-maximal inhibition of cell viability.,Percent inhibition of cell viability.,Where sample was obtained.
RESULT_UNIT,,,,,,,,,,MICROMOLAR,PERCENT,,MICROMOLAR,PERCENT,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,,TRUE,,,,,
1,144211407,91754,CC(C)(C)C1=CC=C(C=C1)CSC2=C(C(=O)N(N=C2)C(C)(C)C)Cl,Active,100,,,active antagonist,active antagonist,0.0200875,-109.405,active antagonist,0.0660073,-45.9524,SIGMA
2,170464668,457193,C[C@@H]1[C@@H](C(=O)N[C@@H](C(=O)N2CCC[C@H]2C(=O)N(CC(=O)N([C@H](C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)N[C@H]6[C@H](OC(=O)[C@@H](N(C(=O)CN(C(=O)[C@@H]7CCCN7C(=O)[C@H](NC6=O)C(C)C)C)C)C(C)C)C)N)C,Active,100,,,active antagonist,active antagonist,0.0143968,-104.404,active antagonist,2.87255,-40.4491,SIGMA
3,170465087,387447,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,Active,99,,,active antagonist,active antagonist,0.0211317,-107.894,inconclusive antagonist,0.0630862,-31.0466,Selleck
4,144207595,3068143,CC[C@H]1CN2CCC3=CC(=C(C=C3[C@@H]2C[C@@H]1C[C@@H]4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC.Cl.Cl,Active,92,,,active antagonist,active antagonist,0.113305,-114.963,active antagonist,3.44811,-56.0416,Sensient
5,144211355,86354,CCC1=NN(C(=C1Cl)C(=O)NCC2=CC=C(C=C2)C(C)(C)C)C,Active,91,,,active antagonist,active antagonist,0.126743,-114.183,active antagonist,0.432771,-49.3314,ChemService
6,144208873,12688,CCCC[Sn](CCCC)(Cl)Cl,Active,90,,,active antagonist,active antagonist,0.133311,-111.397,active antagonist,0.749661,-84.74,SigmaAldrich
7,170466878,11556711,CC(C)C[C@@H](C(=O)[C@]1(CO1)C)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC3=CC=CC=C3)NC(=O)CN4CCOCC4,Active,90,,,active antagonist,active antagonist,0.101922,-108.277,active antagonist,4.21632,-58.4386,Sequoia
8,144213429,12688,CCCC[Sn](CCCC)(Cl)Cl,Active,89,,,active antagonist,active antagonist,0.165803,-111.784,active antagonist,0.71273,-85.635,LightBiologicals
9,170465615,9577124,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=C(C5=CC=CC=C5N=C4C3=C2)/C=N/OC(C)(C)C)O,Active,89,,,active antagonist,active antagonist,0.114358,-105.559,inactive,,0,GVK
10,144209680,457193,C[C@@H]1[C@@H](C(=O)N[C@@H](C(=O)N2CCC[C@H]2C(=O)N(CC(=O)N([C@H](C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)N[C@H]6[C@H](OC(=O)[C@@H](N(C(=O)CN(C(=O)[C@@H]7CCCN7C(=O)[C@H](NC6=O)C(C)C)C)C)C(C)C)C)N)C,Active,89,,,active antagonist,active antagonist,0.0321715,-90.6738,active antagonist,16.7548,-51.9707,SRI International
